Time,Device_ID,Type,Mine_N,Mine_E,Altitude,Status
10/09/2023 09:30,010,LANDMOS,4902.404,-4674.527,438.419,3
13/09/2023 14:00,001,LANDMOS,706.635,-5171.985,476.945,0
13/09/2023 14:00,005,LANDMOS,5053.906,-5250.268,474.092,3
13/09/2023 14:00,004,LANDMOS,1225.289,-5030.773,444.596,0
13/09/2023 14:00,003,LANDMOS,1611.290,-5261.437,464.957,0
13/09/2023 14:00,009,LANDMOS,244.677,1101.582,362.424,0
13/09/2023 14:00,002,LANDMOS,5275.442,-5424.407,484.876,0
13/09/2023 14:00,010,LANDMOS,4902.372,-4674.513,438.540,3
13/09/2023 14:00,006,LANDMOS,5485.370,-5179.018,486.715,3
13/09/2023 14:00,008,LANDMOS,3345.233,-950.819,212.771,0
31/08/2023 14:30,008,LANDMOS,3345.867,-949.737,209.955,4
13/09/2023 14:00,007,LANDMOS,4830.288,-5535.111,483.498,0
10/09/2023 09:45,005,LANDMOS,5053.960,-5250.298,474.022,3
10/09/2023 09:45,002,LANDMOS,5275.475,-5424.428,484.757,1
10/09/2023 09:45,008,LANDMOS,3345.209,-950.830,212.801,0
10/09/2023 09:45,007,LANDMOS,4830.317,-5535.124,483.402,0
13/09/2023 14:15,001,LANDMOS,706.632,-5171.980,476.935,0
10/09/2023 09:45,003,LANDMOS,1611.271,-5261.456,464.987,0
10/09/2023 09:45,001,LANDMOS,706.604,-5172.013,476.963,0
10/09/2023 09:45,006,LANDMOS,5485.342,-5179.037,486.796,3
10/09/2023 09:45,010,LANDMOS,4902.405,-4674.531,438.420,3
10/09/2023 09:45,009,LANDMOS,244.661,1101.582,362.440,0
13/09/2023 14:15,002,LANDMOS,5275.439,-5424.398,484.871,0
01/09/2023 19:45,007,LANDMOS,4830.309,-5535.117,483.442,0
01/09/2023 19:45,010,LANDMOS,4902.416,-4674.541,438.447,3
01/09/2023 19:45,009,LANDMOS,244.683,1101.562,362.408,0
31/08/2023 14:30,009,LANDMOS,244.670,1101.579,362.447,0
01/09/2023 19:45,006,LANDMOS,5485.065,-5178.883,487.327,0
31/08/2023 14:30,010,LANDMOS,4902.402,-4674.535,438.460,3
02/09/2023 00:00,002,LANDMOS,5275.391,-5424.427,484.858,0
01/09/2023 19:45,008,LANDMOS,3345.224,-950.814,212.778,0
02/09/2023 00:00,003,LANDMOS,1611.290,-5261.446,464.981,0
02/09/2023 00:00,004,LANDMOS,1225.279,-5030.815,444.526,0
13/09/2023 14:15,003,LANDMOS,1611.286,-5261.439,464.964,0
31/08/2023 14:45,001,LANDMOS,706.634,-5172.020,476.983,0
31/08/2023 14:45,003,LANDMOS,1611.318,-5261.422,464.961,0
31/08/2023 14:45,004,LANDMOS,1225.303,-5030.792,444.584,0
31/08/2023 14:45,002,LANDMOS,5275.365,-5424.406,484.876,0
31/08/2023 14:45,008,LANDMOS,3347.039,-950.415,211.038,4
31/08/2023 14:45,006,LANDMOS,5485.058,-5178.871,487.369,0
31/08/2023 14:45,005,LANDMOS,5054.176,-5250.494,474.174,0
31/08/2023 14:45,010,LANDMOS,4902.400,-4674.537,438.472,3
31/08/2023 14:45,007,LANDMOS,4830.305,-5535.119,483.447,0
31/08/2023 14:45,009,LANDMOS,244.672,1101.577,362.448,0
